update_date,cases
3/18/20,1
3/19/20,0
3/20/20,0
3/21/20,0
3/22/20,0
3/23/20,0
3/24/20,0
3/25/20,0
3/26/20,0
3/27/20,0
3/28/20,0
3/29/20,0
3/30/20,0
3/31/20,0
4/1/20,0
4/2/20,0
4/3/20,0
4/4/20,0
4/5/20,0
4/6/20,0
4/7/20,0
4/8/20,0
4/9/20,0
4/10/20,0
4/11/20,0
4/12/20,0
4/13/20,0
4/14/20,0
4/15/20,0
4/16/20,0
4/17/20,0
4/18/20,0
4/19/20,0
4/20/20,0
4/21/20,0
4/22/20,0
4/23/20,0
4/24/20,0
4/25/20,0
4/26/20,0
4/27/20,0
4/28/20,0
4/29/20,0
4/30/20,0
5/1/20,0
5/2/20,0
5/3/20,0
5/4/20,0
5/5/20,0
5/6/20,0
5/7/20,0
5/8/20,0
5/9/20,0
5/10/20,0
5/11/20,0
5/12/20,0
5/13/20,0
5/14/20,0
5/15/20,0
5/16/20,0
5/17/20,0
5/18/20,0
5/19/20,0
5/20/20,0
5/21/20,0
5/22/20,0
5/23/20,0
5/24/20,0
5/25/20,0
5/26/20,0
5/27/20,0
5/28/20,0
5/29/20,0
5/30/20,0
5/31/20,0
6/1/20,0
6/2/20,0
6/3/20,0
6/4/20,3
6/5/20,4
6/6/20,1
6/7/20,4
6/8/20,5
6/9/20,7
6/10/20,2
6/11/20,7
6/12/20,7
6/13/20,6
6/14/20,11
6/15/20,17
6/16/20,15
6/17/20,27
6/18/20,14
6/19/20,16
6/20/20,16
6/21/20,16
6/22/20,16
6/23/20,7
6/24/20,10
6/25/20,12
6/26/20,10
6/27/20,10
6/28/20,12
6/29/20,15
6/30/20,19
7/1/20,11
7/2/20,13
7/3/20,15
7/4/20,12
7/5/20,14
7/6/20,16
7/7/20,14
7/8/20,21
7/9/20,14
7/10/20,18
7/11/20,8
7/12/20,11
7/13/20,13
7/14/20,14
7/15/20,15
7/16/20,12
7/17/20,14
7/18/20,11
7/19/20,10
7/20/20,10
7/21/20,16
7/22/20,18
7/23/20,17
7/24/20,9
7/25/20,7
7/26/20,15
7/27/20,19
7/28/20,13
7/29/20,15
7/30/20,11
7/31/20,8
8/1/20,8
8/2/20,15
8/3/20,12
8/4/20,23
8/5/20,4
8/6/20,7
8/7/20,10
8/8/20,4
8/9/20,5
8/10/20,12
8/11/20,6
8/12/20,7
8/13/20,9
8/14/20,6
8/15/20,11
8/16/20,8
8/17/20,8
8/18/20,6
8/19/20,7
8/20/20,5
8/21/20,11
8/22/20,6
8/23/20,9
8/24/20,9
8/25/20,9
8/26/20,13
8/27/20,7
8/28/20,6
8/29/20,11
8/30/20,30
8/31/20,43
9/1/20,78
9/2/20,80
9/3/20,63
9/4/20,76
9/5/20,88
9/6/20,90
9/7/20,152
9/8/20,141
9/9/20,126
9/10/20,102
9/11/20,87
9/12/20,66
9/13/20,53
9/14/20,99
9/15/20,95
9/16/20,78
9/17/20,40
9/18/20,44
9/19/20,22
9/20/20,22
9/21/20,16
9/22/20,31
9/23/20,25
9/24/20,3
9/25/20,0
9/26/20,0
9/27/20,0
9/28/20,1